É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2020/04/21 18:48:15

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá
1994/6,5.5,0,8,1,218.8,0,8,1,0,1,8,1,79.0,0,8,1,143.1,0,8,1,0,1,8,1,144.5,0,8,1,136.2,0,8,1,0,1,8,1,150.5,0,8,1,146.4,0,8,1,0,1,8,1,79.5,0,8,1,172.1,0,8,1,0,1,8,1,114.0,0,8,1,172.0,0,8,1,0,1,8,1,127.5,0,8,1,157.0,0,5,1,0,1,8,1
1994/7,41.0,0,8,1,217.3,0,8,1,0,1,8,1,61.0,0,8,1,172.7,0,8,1,0,1,8,1,93.5,0,8,1,202.9,0,8,1,0,1,8,1,18.5,0,8,1,311.4,0,8,1,0,1,8,1,54.5,0,8,1,238.1,0,8,1,0,1,8,1,70.5,0,8,1,242.2,0,8,1,0,1,8,1,27.0,0,8,1,300.5,0,8,1,0,1,8,1
1994/8,104.5,0,8,1,180.4,0,8,1,0,1,8,1,102.5,0,8,1,226.8,0,8,1,0,1,8,1,92.5,0,8,1,239.9,0,8,1,0,1,8,1,32.0,0,8,1,279.3,0,8,1,0,1,8,1,59.0,0,8,1,281.7,0,8,1,0,1,8,1,43.0,0,8,1,275.7,0,8,1,0,1,8,1,21.5,0,8,1,262.6,0,8,1,0,1,8,1
1994/9,313.5,0,8,1,140.4,0,8,1,0,1,8,1,638.5,0,8,1,120.4,0,8,1,0,1,8,1,235.0,0,5,1,131.8,0,8,1,0,1,8,1,161.5,0,8,1,201.4,0,8,1,0,1,8,1,179.0,0,8,1,190.0,0,8,1,0,1,8,1,376.5,0,8,1,174.1,0,8,1,0,1,8,1,61.5,0,8,1,206.0,0,8,1,0,1,8,1
1994/10,127.5,0,8,1,177.1,0,8,1,0,0,8,1,61.5,0,8,1,113.6,0,8,1,0,1,8,1,57.0,0,8,1,76.5,0,8,1,0,1,8,1,20.5,0,8,1,193.5,0,8,1,0,1,8,1,29.5,0,8,1,169.0,0,8,1,0,1,8,1,72.0,0,8,1,168.6,0,8,1,0,1,8,1,58.5,0,8,1,196.4,0,8,1,0,1,8,1
1994/11,90.5,0,5,1,108.4,0,8,1,38,0,8,1,5.5,0,8,1,153.5,0,8,1,0,0,8,1,50.5,0,8,1,167.0,0,8,1,0,1,8,1,34.0,0,8,1,167.8,0,8,1,0,1,8,1,25.0,0,8,1,141.3,0,8,1,0,1,8,1,34.5,0,8,1,178.1,0,8,1,0,1,8,1,42.5,0,8,1,160.9,0,8,1,0,1,8,1
1994/12,96.0,0,8,1,87.7,0,8,1,107,0,8,1,29.5,0,8,1,148.7,0,8,1,3,0,8,1,23.0,0,8,1,167.3,0,8,1,0,1,8,1,25.0,0,8,1,93.7,0,8,1,0,0,8,1,38.5,0,8,1,121.5,0,8,1,0,1,8,1,25.5,0,8,1,155.6,0,8,1,0,1,8,1,17.0,0,8,1,131.8,0,8,1,0,0,8,1
1995/1,124.0,0,8,1,90.1,0,8,1,154,0,8,1,31.0,0,8,1,159.8,0,5,1,14,0,8,1,36.0,0,8,1,224.2,0,8,1,0,0,8,1,86.5,0,8,1,113.3,0,8,1,1,0,8,1,50.0,0,8,1,151.7,0,8,1,0,0,8,1,53.0,0,8,1,172.9,0,8,1,2,0,8,1,30.5,0,8,1,142.4,0,8,1,0,0,8,1
1995/2,59.5,0,8,1,130.0,0,8,1,66,0,8,1,14.5,0,8,1,175.5,0,8,1,12,0,8,1,27.0,0,8,1,179.3,0,8,1,1,0,8,1,31.0,0,8,1,142.3,0,8,1,2,0,8,1,28.0,0,8,1,122.4,0,8,1,0,0,8,1,31.0,0,8,1,211.3,0,8,1,1,0,8,1,30.5,0,8,1,151.0,0,8,1,5,0,8,1
1995/3,50.0,0,8,1,183.2,0,8,1,29,0,8,1,119.5,0,8,1,125.9,0,8,1,5,0,8,1,180.0,0,8,1,134.4,0,8,1,2,0,8,1,113.5,0,8,1,147.8,0,8,1,3,0,8,1,69.0,0,8,1,145.8,0,8,1,0,1,8,1,123.0,0,8,1,200.1,0,8,1,0,1,8,1,69.5,0,8,1,174.7,0,8,1,0,0,8,1
1995/4,107.0,0,8,1,159.3,0,8,1,0,0,8,1,61.0,0,8,1,189.0,0,8,1,0,0,8,1,99.5,0,8,1,158.5,0,8,1,0,0,8,1,107.0,0,8,1,172.1,0,8,1,0,1,8,1,100.5,0,8,1,160.5,0,8,1,0,1,8,1,202.5,0,8,1,164.8,0,8,1,0,1,8,1,137.0,0,8,1,160.4,0,8,1,0,1,8,1
1995/5,50.5,0,8,1,157.6,0,8,1,0,1,8,1,125.5,0,8,1,146.1,0,8,1,0,1,8,1,204.5,0,8,1,147.6,0,8,1,0,1,8,1,256.0,0,8,1,216.9,0,8,1,0,1,8,1,360.5,0,8,1,152.5,0,8,1,0,1,8,1,200.0,0,8,1,188.8,0,8,1,0,1,8,1,269.5,0,8,1,205.1,0,8,1,0,1,8,1
1995/6,35.0,0,8,1,146.2,0,8,1,0,1,8,1,177.0,0,8,1,43.6,0,8,1,0,1,8,1,185.5,0,8,1,62.6,0,8,1,0,1,8,1,84.0,0,8,1,152.7,0,8,1,0,1,8,1,113.0,0,8,1,116.1,0,8,1,0,1,8,1,99.5,0,8,1,147.3,0,8,1,0,1,8,1,117.5,0,8,1,167.5,0,8,1,0,1,8,1
1995/7,86.5,0,8,1,136.0,0,8,1,0,1,8,1,86.0,0,8,1,140.9,0,5,1,0,1,8,1,171.0,0,8,1,137.1,0,8,1,0,1,8,1,527.5,0,8,1,189.1,0,8,1,0,1,8,1,446.5,0,8,1,175.3,0,8,1,0,1,8,1,368.5,0,8,1,145.4,0,5,1,0,1,8,1,452.0,0,8,1,172.3,0,8,1,0,1,8,1
1995/8,172.5,0,8,1,109.7,0,8,1,0,1,8,1,188.5,0,8,1,152.0,0,8,1,0,1,8,1,31.0,0,8,1,248.7,0,8,1,0,1,8,1,109.0,0,8,1,227.4,0,8,1,0,1,8,1,39.0,0,8,1,295.4,0,8,1,0,1,8,1,51.0,0,8,1,293.6,0,8,1,0,1,8,1,42.5,0,8,1,265.8,0,8,1,0,1,8,1
1995/9,112.0,0,8,1,171.8,0,8,1,0,1,8,1,106.5,0,8,1,146.8,0,8,1,0,1,8,1,164.5,0,8,1,149.0,0,8,1,0,1,8,1,169.0,0,8,1,145.4,0,8,1,0,1,8,1,31.5,0,8,1,144.5,0,8,1,0,1,8,1,105.0,0,8,1,153.3,0,8,1,0,1,8,1,114.5,0,8,1,152.0,0,8,1,0,1,8,1
1995/10,130.0,0,8,1,128.8,0,8,1,0,0,8,1,25.5,0,8,1,149.5,0,8,1,0,1,8,1,79.0,0,8,1,148.0,0,8,1,0,1,8,1,55.0,0,8,1,191.6,0,8,1,0,1,8,1,77.5,0,8,1,196.4,0,8,1,0,1,8,1,98.0,0,8,1,193.8,0,8,1,0,1,8,1,96.5,0,8,1,195.3,0,8,1,0,1,8,1
1995/11,133.0,0,8,1,81.4,0,8,1,30,0,8,1,25.5,0,8,1,178.7,0,8,1,0,0,8,1,42.0,0,8,1,203.4,0,8,1,0,1,8,1,38.5,0,8,1,153.7,0,8,1,0,0,8,1,51.0,0,8,1,188.7,0,8,1,0,1,8,1,58.0,0,8,1,207.3,0,8,1,0,1,8,1,20.0,0,8,1,169.6,0,8,1,0,1,8,1
1995/12,180.5,0,8,1,81.6,0,8,1,256,0,8,1,14.0,0,8,1,156.1,0,8,1,13,0,8,1,0.0,0,8,1,235.3,0,8,1,0,0,8,1,16.0,0,8,1,100.2,0,8,1,0,0,8,1,12.5,0,8,1,162.7,0,8,1,0,0,8,1,3.5,0,8,1,210.4,0,8,1,2,0,8,1,9.5,0,8,1,146.2,0,8,1,8,0,8,1
1996/1,157.0,0,8,1,81.4,0,8,1,183,0,8,1,15.0,0,5,1,145.1,0,8,1,26,0,8,1,13.0,0,8,1,197.8,0,8,1,2,0,8,1,41.5,0,8,1,121.2,0,8,1,0,0,8,1,35.0,0,8,1,133.6,0,8,1,0,0,8,1,21.0,0,8,1,162.8,0,8,1,14,0,8,1,39.5,0,8,1,134.5,0,8,1,0,0,8,1
1996/2,77.5,0,8,1,109.6,0,5,1,138,0,8,1,14.0,0,8,1,167.1,0,8,1,8,0,8,1,45.0,0,8,1,186.8,0,8,1,16,0,8,1,41.5,0,8,1,107.3,0,5,1,0,0,8,1,35.0,0,8,1,145.2,0,8,1,9,0,8,1,30.5,0,8,1,193.5,0,8,1,6,0,8,1,46.0,0,8,1,154.0,0,8,1,20,0,8,1
1996/3,73.0,0,8,1,145.5,0,8,1,61,0,8,1,121.0,0,8,1,180.3,0,8,1,7,0,8,1,118.0,0,8,1,162.5,0,8,1,0,0,8,1,124.5,0,8,1,118.4,0,5,1,0,1,8,1,132.5,0,8,1,151.5,0,8,1,0,0,8,1,202.0,0,8,1,181.6,0,8,1,0,0,8,1,180.5,0,8,1,139.4,0,8,1,0,0,8,1
1996/4,30.0,0,8,1,145.8,0,8,1,12,0,8,1,47.5,0,8,1,198.2,0,8,1,1,0,8,1,111.0,0,8,1,204.8,0,8,1,0,1,8,1,104.0,0,8,1,194.4,0,8,1,0,1,8,1,28.5,0,8,1,217.8,0,8,1,0,0,8,1,34.5,0,8,1,253.5,0,8,1,0,1,8,1,72.5,0,8,1,214.2,0,8,1,0,1,8,1
1996/5,88.0,0,8,1,142.3,0,8,1,0,1,8,1,127.5,0,8,1,167.6,0,8,1,0,1,8,1,128.0,0,8,1,183.7,0,8,1,0,1,8,1,50.5,0,8,1,225.7,0,8,1,0,1,8,1,68.0,0,8,1,191.8,0,8,1,0,1,8,1,104.0,0,8,1,187.2,0,8,1,0,1,8,1,101.0,0,8,1,230.6,0,8,1,0,1,8,1
1996/6,29.0,0,8,1,163.3,0,8,1,0,1,8,1,126.0,0,8,1,99.8,0,8,1,0,1,8,1,36.0,0,8,1,117.8,0,8,1,0,1,8,1,344.0,0,8,1,102.2,0,5,1,0,1,8,1,283.5,0,8,1,116.3,0,8,1,0,1,8,1,176.0,0,8,1,99.5,0,8,1,0,1,8,1,284.5,0,8,1,120.6,0,8,1,0,1,8,1
1996/7,88.5,0,8,1,120.8,0,8,1,0,1,8,1,117.0,0,8,1,136.5,0,8,1,0,1,8,1,253.5,0,8,1,199.6,0,8,1,0,1,8,1,113.0,0,8,1,184.9,0,8,1,0,1,8,1,114.5,0,8,1,236.5,0,8,1,0,1,8,1,135.5,0,8,1,215.3,0,8,1,0,1,8,1,104.0,0,8,1,231.3,0,8,1,0,1,8,1
1996/8,85.5,0,8,1,177.8,0,8,1,0,1,8,1,82.5,0,8,1,144.4,0,8,1,0,1,8,1,31.5,0,8,1,149.1,0,8,1,0,1,8,1,179.5,0,8,1,207.9,0,8,1,0,1,8,1,129.5,0,8,1,225.0,0,8,1,0,1,8,1,101.5,0,8,1,158.6,0,8,1,0,1,8,1,106.0,0,8,1,203.4,0,8,1,0,1,8,1
1996/9,124.5,0,8,1,149.1,0,8,1,0,1,8,1,207.5,0,8,1,157.7,0,8,1,0,1,8,1,382.0,0,8,1,139.0,0,8,1,0,1,8,1,76.0,0,8,1,184.9,0,8,1,0,1,8,1,173.0,0,8,1,126.0,0,8,1,0,1,8,1,104.0,0,8,1,139.4,0,8,1,0,1,8,1,172.0,0,8,1,173.2,0,8,1,0,1,8,1
1996/10,153.0,0,8,1,137.9,0,8,1,3,0,8,1,16.0,0,8,1,144.5,0,8,1,0,1,8,1,83.5,0,8,1,139.9,0,8,1,0,1,8,1,72.0,0,8,1,179.9,0,8,1,0,1,8,1,114.5,0,8,1,158.4,0,8,1,0,1,8,1,106.0,0,8,1,196.7,0,8,1,0,1,8,1,58.5,0,8,1,159.3,0,8,1,0,1,8,1
1996/11,96.0,0,8,1,105.9,0,8,1,35,0,8,1,76.5,0,8,1,120.1,0,8,1,0,0,8,1,84.0,0,8,1,115.4,0,8,1,0,1,8,1,70.0,0,8,1,88.4,0,8,1,0,0,8,1,67.0,0,8,1,132.3,0,8,1,0,1,8,1,82.5,0,8,1,133.2,0,8,1,0,1,8,1,39.0,0,8,1,114.3,0,8,1,0,1,8,1
1996/12,97.0,0,8,1,89.6,0,8,1,96,0,8,1,9.5,0,8,1,156.9,0,8,1,0,0,8,1,48.0,0,8,1,187.8,0,8,1,0,1,8,1,59.0,0,8,1,133.7,0,8,1,0,0,8,1,100.5,0,8,1,194.0,0,8,1,0,0,8,1,59.5,0,8,1,207.3,0,8,1,2,0,8,1,58.5,0,8,1,151.0,0,8,1,11,0,8,1
1997/1,49.5,0,8,1,102.4,0,8,1,35,0,8,1,56.0,0,8,1,158.8,0,8,1,39,0,8,1,29.0,0,8,1,236.6,0,5,1,0,0,8,1,68.0,0,8,1,114.2,0,8,1,3,0,8,1,34.0,0,8,1,154.3,0,8,1,5,0,8,1,21.5,0,8,1,192.6,0,8,1,5,0,8,1,18.0,0,8,1,158.5,0,8,1,8,0,8,1
1997/2,120.0,0,8,1,99.4,0,8,1,146,0,8,1,32.5,0,8,1,168.7,0,8,1,40,0,8,1,21.5,0,8,1,191.6,0,8,1,0,0,8,1,32.0,0,8,1,134.3,0,8,1,0,0,8,1,28.0,0,8,1,145.0,0,8,1,0,0,8,1,27.5,0,8,1,200.6,0,8,1,0,0,8,1,42.5,0,8,1,141.6,0,8,1,9,0,8,1
1997/3,59.5,0,8,1,160.9,0,8,1,60,0,8,1,19.5,0,8,1,203.3,0,8,1,0,0,8,1,106.0,0,8,1,181.9,0,8,1,0,1,8,1,91.5,0,8,1,164.6,0,8,1,0,1,8,1,107.0,0,8,1,174.6,0,8,1,0,1,8,1,86.0,0,8,1,204.2,0,8,1,0,1,8,1,95.0,0,8,1,178.7,0,8,1,0,0,8,1
1997/4,15.5,0,8,1,191.8,0,8,1,3,0,8,1,69.5,0,8,1,183.8,0,8,1,0,0,8,1,105.5,0,8,1,184.3,0,8,1,0,1,8,1,142.5,0,8,1,196.1,0,8,1,0,1,8,1,126.0,0,8,1,188.6,0,8,1,0,1,8,1,131.5,0,8,1,194.6,0,8,1,0,1,8,1,144.5,0,8,1,195.0,0,8,1,0,1,8,1
1997/5,74.0,0,8,1,159.1,0,8,1,0,1,8,1,147.0,0,8,1,154.5,0,8,1,0,1,8,1,186.0,0,8,1,162.7,0,8,1,0,1,8,1,181.5,0,8,1,191.9,0,8,1,0,1,8,1,114.0,0,8,1,183.9,0,8,1,0,1,8,1,162.5,0,8,1,200.3,0,8,1,0,1,8,1,291.5,0,8,1,191.4,0,8,1,0,1,8,1
1997/6,21.0,0,8,1,164.6,0,8,1,0,1,8,1,280.5,0,8,1,143.1,0,8,1,0,1,8,1,170.5,0,8,1,160.6,0,8,1,0,1,8,1,190.0,0,8,1,185.4,0,8,1,0,1,8,1,59.0,0,8,1,161.9,0,8,1,0,1,8,1,150.0,0,8,1,156.3,0,8,1,0,1,8,1,180.5,0,8,1,176.7,0,8,1,0,1,8,1
1997/7,81.0,0,8,1,205.9,0,8,1,0,1,8,1,88.5,0,8,1,145.3,0,8,1,0,1,8,1,185.0,0,8,1,191.9,0,8,1,0,1,8,1,529.5,0,8,1,169.7,0,8,1,0,1,8,1,286.0,0,8,1,173.1,0,8,1,0,1,8,1,450.0,0,8,1,144.6,0,8,1,0,1,8,1,457.5,0,8,1,162.1,0,8,1,0,1,8,1
1997/8,188.0,0,8,1,113.5,0,8,1,0,1,8,1,45.5,0,8,1,153.0,0,8,1,0,1,8,1,144.0,0,8,1,176.1,0,8,1,0,1,8,1,322.5,0,8,1,205.0,0,8,1,0,1,8,1,119.5,0,8,1,234.8,0,8,1,0,1,8,1,62.5,0,8,1,198.4,0,8,1,0,1,8,1,131.0,0,8,1,197.7,0,8,1,0,1,8,1
1997/9,131.0,0,8,1,148.0,0,8,1,0,1,8,1,242.0,0,8,1,74.0,0,8,1,0,1,8,1,204.0,0,8,1,91.7,0,8,1,0,1,8,1,216.0,0,8,1,156.2,0,8,1,0,1,8,1,223.0,0,8,1,144.9,0,8,1,0,1,8,1,218.0,0,8,1,153.0,0,8,1,0,1,8,1,243.0,0,8,1,150.6,0,8,1,0,1,8,1
1997/10,82.5,0,8,1,139.4,0,8,1,0,0,8,1,11.5,0,8,1,187.4,0,8,1,0,1,8,1,19.0,0,8,1,192.6,0,8,1,0,1,8,1,33.5,0,8,1,227.6,0,8,1,0,1,8,1,26.5,0,8,1,220.0,0,8,1,0,1,8,1,9.5,0,8,1,208.8,0,8,1,0,1,8,1,27.5,0,8,1,243.4,0,8,1,0,1,8,1
1997/11,117.0,0,8,1,80.1,0,8,1,1,0,8,1,133.5,0,8,1,144.1,0,8,1,0,1,8,1,91.0,0,8,1,140.8,0,8,1,0,1,8,1,180.0,0,8,1,131.0,0,8,1,0,1,8,1,133.0,0,8,1,160.2,0,8,1,0,1,8,1,229.5,0,8,1,165.6,0,8,1,0,1,8,1,168.0,0,8,1,150.0,0,8,1,0,1,8,1
1997/12,76.0,0,8,1,84.1,0,8,1,69,0,8,1,35.0,0,8,1,145.7,0,8,1,7,0,8,1,40.5,0,8,1,153.1,0,8,1,0,0,8,1,96.0,0,8,1,98.6,0,8,1,0,0,8,1,81.5,0,8,1,147.2,0,8,1,0,0,8,1,61.5,0,8,1,174.1,0,8,1,0,0,8,1,61.0,0,8,1,137.5,0,8,1,0,0,8,1
1998/1,108.5,0,8,1,89.1,0,8,1,156,0,8,1,72.0,0,8,1,119.0,0,8,1,67,0,8,1,122.0,0,8,1,162.5,0,8,1,32,0,8,1,208.0,0,8,1,61.7,0,8,1,0,0,8,1,112.5,0,8,1,133.5,0,8,1,0,0,8,1,154.5,0,8,1,157.6,0,8,1,0,0,8,1,137.0,0,8,1,117.8,0,8,1,7,0,8,1
1998/2,69.0,0,8,1,123.0,0,5,1,117,0,8,1,42.5,0,8,1,127.8,0,8,1,10,0,8,1,110.5,0,8,1,150.4,0,8,1,0,0,8,1,68.0,0,8,1,108.2,0,8,1,0,0,8,1,96.5,0,8,1,138.3,0,8,1,0,0,8,1,88.5,0,8,1,172.8,0,8,1,4,0,8,1,54.0,0,8,1,127.5,0,8,1,0,0,8,1
1998/3,83.0,0,8,1,168.9,0,8,1,63,0,8,1,26.0,0,8,1,184.0,0,8,1,3,0,8,1,108.0,0,8,1,191.5,0,8,1,6,0,8,1,93.0,0,8,1,159.2,0,8,1,0,0,8,1,62.0,0,8,1,191.0,0,8,1,0,1,8,1,94.0,0,8,1,198.6,0,8,1,0,0,8,1,102.0,0,8,1,178.9,0,8,1,0,0,8,1
1998/4,28.5,0,8,1,205.4,0,8,1,2,0,8,1,121.0,0,8,1,142.2,0,8,1,17,0,8,1,188.0,0,8,1,108.8,0,8,1,0,0,8,1,201.0,0,8,1,147.6,0,8,1,0,1,8,1,204.0,0,8,1,159.7,0,8,1,0,1,8,1,212.0,0,8,1,169.6,0,8,1,0,1,8,1,181.0,0,8,1,174.1,0,8,1,0,1,8,1
1998/5,58.0,0,8,1,223.7,0,8,1,0,1,8,1,89.5,0,8,1,220.2,0,8,1,0,1,8,1,140.5,0,8,1,132.5,0,8,1,0,1,8,1,268.5,0,8,1,161.4,0,8,1,0,1,8,1,263.0,0,8,1,163.5,0,8,1,0,1,8,1,271.5,0,8,1,137.5,0,8,1,0,1,8,1,180.5,0,8,1,175.4,0,8,1,0,1,8,1
1998/6,83.0,0,8,1,173.2,0,8,1,0,1,8,1,157.0,0,8,1,67.3,0,8,1,0,1,8,1,150.5,0,8,1,73.1,0,8,1,0,1,8,1,401.0,0,8,1,116.5,0,8,1,0,1,8,1,248.5,0,8,1,131.9,0,8,1,0,1,8,1,203.0,0,8,1,127.1,0,8,1,0,1,8,1,275.0,0,8,1,133.6,0,8,1,0,1,8,1
1998/7,71.0,0,8,1,150.2,0,8,1,0,1,8,1,140.0,0,8,1,91.9,0,8,1,0,1,8,1,156.5,0,8,1,113.6,0,8,1,0,1,8,1,154.5,0,8,1,181.4,0,8,1,0,1,8,1,138.5,0,8,1,194.1,0,8,1,0,1,8,1,242.0,0,8,1,163.0,0,8,1,0,1,8,1,129.0,0,8,1,179.6,0,8,1,0,1,8,1
1998/8,88.5,0,8,1,99.9,0,8,1,0,1,8,1,422.0,0,8,1,71.0,0,8,1,0,1,8,1,143.5,0,8,1,91.7,0,8,1,0,1,8,1,175.0,0,8,1,198.5,0,8,1,0,1,8,1,43.0,0,8,1,189.0,0,8,1,0,1,8,1,119.5,0,8,1,186.0,0,8,1,0,1,8,1,46.0,0,8,1,195.0,0,8,1,0,1,8,1
1998/9,218.0,0,8,1,145.1,0,8,1,0,1,8,1,165.5,0,8,1,100.6,0,8,1,0,1,8,1,229.0,0,8,1,83.8,0,8,1,0,1,8,1,90.5,0,8,1,174.2,0,8,1,0,1,8,1,161.5,0,8,1,130.1,0,8,1,0,1,8,1,279.5,0,8,1,123.0,0,8,1,0,1,8,1,118.5,0,8,1,152.9,0,8,1,0,1,8,1
1998/10,76.0,0,8,1,153.7,0,8,1,0,1,8,1,158.5,0,8,1,129.1,0,8,1,0,1,8,1,142.5,0,8,1,117.2,0,8,1,0,1,8,1,139.5,0,8,1,131.5,0,8,1,0,1,8,1,221.0,0,8,1,120.7,0,8,1,0,1,8,1,268.0,0,8,1,127.6,0,8,1,0,1,8,1,259.5,0,8,1,136.6,0,8,1,0,1,8,1
1998/11,137.5,0,8,1,92.7,0,8,1,64,0,8,1,7.0,0,8,1,116.2,0,8,1,0,0,8,1,7.5,0,8,1,157.9,0,8,1,0,1,8,1,43.5,0,8,1,148.9,0,8,1,0,1,8,1,17.0,0,8,1,150.3,0,8,1,0,1,8,1,7.0,0,8,1,167.5,0,8,1,0,1,8,1,24.0,0,8,1,162.5,0,8,1,0,1,8,1
1998/12,134.0,0,8,1,68.7,0,8,1,159,0,8,1,18.0,0,8,1,139.4,0,8,1,0,0,8,1,48.0,0,8,1,152.4,0,8,1,0,0,8,1,23.0,0,8,1,176.3,0,8,1,0,1,8,1,37.5,0,8,1,155.7,0,8,1,0,1,8,1,40.0,0,8,1,173.2,0,8,1,0,1,8,1,1.5,0,8,1,191.1,0,8,1,0,1,8,1
1999/1,135.0,0,8,1,62.1,0,8,1,194,0,8,1,4.0,0,8,1,162.1,0,8,1,4,0,8,1,19.5,0,8,1,217.0,0,8,1,0,1,8,1,42.0,0,8,1,120.2,0,8,1,0,0,8,1,19.5,0,8,1,170.8,0,8,1,0,1,8,1,33.5,0,8,1,163.2,0,8,1,15,0,8,1,32.0,0,8,1,170.2,0,8,1,2,0,8,1
1999/2,84.0,0,8,1,92.0,0,8,1,112,0,8,1,26.0,0,8,1,174.0,0,8,1,11,0,8,1,35.5,0,8,1,200.9,0,8,1,1,0,8,1,51.5,0,8,1,127.6,0,8,1,10,0,8,1,49.5,0,8,1,152.0,0,8,1,0,0,8,1,54.5,0,8,1,180.8,0,8,1,3,0,8,1,61.5,0,8,1,171.4,0,8,1,15,0,8,1
1999/3,86.0,0,8,1,116.1,0,8,1,90,0,8,1,119.0,0,8,1,175.4,0,8,1,7,0,8,1,144.5,0,8,1,119.0,0,8,1,0,0,8,1,65.0,0,8,1,89.5,0,8,1,0,0,8,1,122.5,0,8,1,129.5,0,8,1,0,0,8,1,102.0,0,8,1,153.6,0,8,1,0,0,8,1,106.0,0,8,1,127.1,0,8,1,0,0,8,1
1999/4,32.5,0,8,1,160.3,0,8,1,13,0,8,1,145.0,0,8,1,152.9,0,8,1,0,0,8,1,205.0,0,8,1,146.3,0,8,1,0,1,8,1,101.0,0,8,1,141.1,0,8,1,0,1,8,1,55.5,0,8,1,158.7,0,8,1,0,1,8,1,100.5,0,8,1,187.2,0,8,1,0,0,8,1,110.0,0,8,1,175.4,0,8,1,0,1,8,1
1999/5,93.5,0,8,1,165.5,0,8,1,0,1,8,1,106.0,0,8,1,228.7,0,8,1,0,1,8,1,103.5,0,8,1,184.0,0,8,1,0,1,8,1,128.5,0,8,1,243.2,0,8,1,0,1,8,1,110.0,0,8,1,230.5,0,8,1,0,1,8,1,176.5,0,8,1,233.7,0,8,1,0,1,8,1,163.0,0,8,1,258.5,0,8,1,0,1,8,1
1999/6,32.5,0,8,1,191.2,0,8,1,0,1,8,1,245.0,0,8,1,158.5,0,8,1,0,1,8,1,192.5,0,8,1,135.8,0,8,1,0,1,8,1,464.0,0,8,1,139.3,0,8,1,0,1,8,1,404.5,0,8,1,148.9,0,8,1,0,1,8,1,315.5,0,8,1,144.2,0,8,1,0,1,8,1,411.0,0,8,1,141.0,0,8,1,0,1,8,1
1999/7,154.5,0,8,1,130.6,0,8,1,0,1,8,1,261.5,0,8,1,151.3,0,8,1,0,1,8,1,342.0,0,8,1,169.0,0,5,1,0,1,8,1,247.0,0,8,1,110.5,0,8,1,0,1,8,1,112.5,0,8,1,179.9,0,8,1,0,1,8,1,161.0,0,8,1,155.7,0,8,1,0,1,8,1,206.0,0,8,1,122.1,0,8,1,0,1,8,1
1999/8,103.0,0,8,1,210.1,0,8,1,0,1,8,1,240.0,0,8,1,182.9,0,8,1,0,1,8,1,301.0,0,8,1,204.0,0,5,1,0,1,8,1,194.5,0,8,1,128.7,0,8,1,0,1,8,1,156.0,0,8,1,221.4,0,8,1,0,1,8,1,169.0,0,8,1,194.7,0,8,1,0,1,8,1,172.0,0,8,1,163.4,0,8,1,0,1,8,1
1999/9,107.5,0,8,1,165.5,0,8,1,0,1,8,1,280.5,0,8,1,131.0,0,8,1,0,1,8,1,91.0,0,8,1,130.3,0,8,1,0,1,8,1,185.0,0,8,1,121.0,0,8,1,0,1,8,1,155.5,0,8,1,150.7,0,8,1,0,1,8,1,355.0,0,8,1,123.3,0,8,1,0,1,8,1,313.5,0,8,1,127.6,0,8,1,0,1,8,1
1999/10,80.5,0,8,1,138.4,0,8,1,0,0,8,1,105.0,0,8,1,150.2,0,8,1,0,1,8,1,87.5,0,8,1,158.4,0,8,1,0,1,8,1,60.5,0,8,1,177.5,0,8,1,0,1,8,1,115.5,0,8,1,182.5,0,8,1,0,1,8,1,68.0,0,8,1,175.0,0,8,1,0,1,8,1,59.5,0,8,1,182.8,0,8,1,0,1,8,1
1999/11,75.5,0,8,1,98.9,0,8,1,29,0,8,1,45.0,0,8,1,146.5,0,8,1,0,0,8,1,93.0,0,8,1,157.1,0,8,1,0,1,8,1,100.5,0,8,1,128.4,0,8,1,0,1,8,1,60.0,0,8,1,157.7,0,8,1,0,1,8,1,92.0,0,8,1,191.6,0,8,1,0,1,8,1,58.5,0,8,1,156.4,0,8,1,0,1,8,1
